Strain,Plasmid,Replicate,Inducer,Media,Type,Plate,well
E.coli EW11,DV565,3,4-HT,M9sa,Distal,1,G9
E.coli EW11,DV565,4,4-HT,M9sa,Distal,1,G10
E.coli EW11,DV565,5,4-HT,M9sa,Distal,1,G11
E.coli EW11,DV565,6,4-HT,M9sa,Distal,1,G12
E.coli EW11,pLW003,1,DMSO,M9sa,NegCtrl,1,H1
E.coli EW11,pLW003,2,DMSO,M9sa,NegCtrl,1,H2
E.coli EW11,pLW003,3,DMSO,M9sa,NegCtrl,1,H3
E.coli EW11,pLW003,4,DMSO,M9sa,NegCtrl,1,H4
E.coli EW11,pLW003,5,DMSO,M9sa,NegCtrl,1,H5
E.coli EW11,pLW003,6,DMSO,M9sa,NegCtrl,1,H6
E.coli EW11,pLW003,1,4-HT,M9sa,NegCtrl,1,H7
E.coli EW11,pLW003,2,4-HT,M9sa,NegCtrl,1,H8
E.coli EW11,pLW003,3,4-HT,M9sa,NegCtrl,1,H9
E.coli EW11,pLW003,4,4-HT,M9sa,NegCtrl,1,H10
E.coli EW11,pLW003,5,4-HT,M9sa,NegCtrl,1,H11
E.coli EW11,pLW003,6,4-HT,M9sa,NegCtrl,1,H12
