"Strain","Plasmid","Replicate","RBS","Promoter","Media","well","time","OD600","row","column"
"E.coli EW11","SKS46",1,"k0.75","P150","M9sa","F3",16035.761,0.4332,"F",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9sa","F4",16035.761,0.2118,"F",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9sa","F5",16035.761,0.4664,"F",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9sa","F6",16035.761,0.4162,"F",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9sa","F7",16035.761,0.3813,"F",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9sa","F8",16035.761,0.4245,"F",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9sa","F9",16035.761,0.5207,"F",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9sa","F10",16035.761,0.6063,"F",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9sa","F11",16035.761,0.4694,"F",11
"","",NA,"","","","F12",16035.761,NA,"F",12
"","",NA,"","","","G1",16035.761,NA,"G",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9sa","G2",16035.761,0.3684,"G",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9sa","G3",16035.761,0.4518,"G",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9sa","G4",16035.761,0.4168,"G",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9sa","G5",16035.761,0.4386,"G",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9sa","G6",16035.761,0.3669,"G",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9sa","G7",16035.761,0.4921,"G",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9sa","G8",16035.761,0.4209,"G",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9sa","G9",16035.761,0.4411,"G",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9sa","G10",16035.761,0.4192,"G",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9sa","G11",16035.761,0.6142,"G",11
"","",NA,"","","","G12",16035.761,NA,"G",12
"","",NA,"","","","H1",16035.761,NA,"H",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9sa","H2",16035.761,0.4339,"H",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9sa","H3",16035.761,0.4267,"H",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9sa","H4",16035.761,0.2557,"H",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9sa","H5",16035.761,0.3556,"H",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9sa","H6",16035.761,0.2992,"H",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9sa","H7",16035.761,0.3364,"H",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9sa","H8",16035.761,0.3069,"H",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9sa","H9",16035.761,0.3064,"H",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9sa","H10",16035.761,0.298,"H",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9sa","H11",16035.761,0.4024,"H",11
"","",NA,"","","","H12",16035.761,NA,"H",12
"","",NA,"","","","A1",16608.591,NA,"A",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9C","A2",16608.591,1.0733,"A",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9C","A3",16608.591,1.282,"A",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9C","A4",16608.591,0.6151,"A",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9C","A5",16608.591,1.3198,"A",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9C","A6",16608.591,1.3901,"A",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9C","A7",16608.591,1.543,"A",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9C","A8",16608.591,1.5576,"A",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9C","A9",16608.591,1.3048,"A",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9C","A10",16608.591,1.5893,"A",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9C","A11",16608.591,1.4147,"A",11
"","",NA,"","","","A12",16608.591,NA,"A",12
"","",NA,"","","","B1",16608.591,NA,"B",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9C","B2",16608.591,1.2045,"B",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9C","B3",16608.591,1.2306,"B",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9C","B4",16608.591,0.4759,"B",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9C","B5",16608.591,1.5326,"B",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9C","B6",16608.591,1.1505,"B",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9C","B7",16608.591,1.1144,"B",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9C","B8",16608.591,1.4046,"B",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9C","B9",16608.591,1.4207,"B",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9C","B10",16608.591,1.489,"B",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9C","B11",16608.591,1.3902,"B",11
"","",NA,"","","","B12",16608.591,NA,"B",12
"","",NA,"","","","C1",16608.591,NA,"C",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9C","C2",16608.591,0.8432,"C",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9C","C3",16608.591,1.14,"C",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9C","C4",16608.591,0.565,"C",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9C","C5",16608.591,1,"C",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9C","C6",16608.591,0.9459,"C",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9C","C7",16608.591,1.0721,"C",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9C","C8",16608.591,1.0106,"C",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9C","C9",16608.591,0.8341,"C",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9C","C10",16608.591,1.2343,"C",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9C","C11",16608.591,0.8439,"C",11
"","",NA,"","","","C12",16608.591,NA,"C",12
"","",NA,"","","","D1",16608.591,NA,"D",1
"","",NA,"","","","D2",16608.591,NA,"D",2
"","",NA,"","","","D3",16608.591,NA,"D",3
"","",NA,"","","","D4",16608.591,NA,"D",4
"","",NA,"","","","D5",16608.591,NA,"D",5
"","",NA,"","","","D6",16608.591,NA,"D",6
"","",NA,"","","","D7",16608.591,NA,"D",7
"","",NA,"","","","D8",16608.591,NA,"D",8
"","",NA,"","","","D9",16608.591,NA,"D",9
"","",NA,"","","","D10",16608.591,NA,"D",10
"","",NA,"","","","D11",16608.591,NA,"D",11
"","",NA,"","","","D12",16608.591,NA,"D",12
"","",NA,"","","","E1",16608.591,NA,"E",1
"","",NA,"","","","E2",16608.591,NA,"E",2
"","",NA,"","","","E3",16608.591,NA,"E",3
"","",NA,"","","","E4",16608.591,NA,"E",4
"","",NA,"","","","E5",16608.591,NA,"E",5
"","",NA,"","","","E6",16608.591,NA,"E",6
"","",NA,"","","","E7",16608.591,NA,"E",7
"","",NA,"","","","E8",16608.591,NA,"E",8
"","",NA,"","","","E9",16608.591,NA,"E",9
"","",NA,"","","","E10",16608.591,NA,"E",10
"","",NA,"","","","E11",16608.591,NA,"E",11
"","",NA,"","","","E12",16608.591,NA,"E",12
"","",NA,"","","","F1",16608.591,NA,"F",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9sa","F2",16608.591,0.4669,"F",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9sa","F3",16608.591,0.4614,"F",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9sa","F4",16608.591,0.2191,"F",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9sa","F5",16608.591,0.4995,"F",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9sa","F6",16608.591,0.4334,"F",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9sa","F7",16608.591,0.3999,"F",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9sa","F8",16608.591,0.4445,"F",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9sa","F9",16608.591,0.5469,"F",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9sa","F10",16608.591,0.6305,"F",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9sa","F11",16608.591,0.4902,"F",11
"","",NA,"","","","F12",16608.591,NA,"F",12
"","",NA,"","","","G1",16608.591,NA,"G",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9sa","G2",16608.591,0.3908,"G",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9sa","G3",16608.591,0.4864,"G",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9sa","G4",16608.591,0.4271,"G",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9sa","G5",16608.591,0.4701,"G",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9sa","G6",16608.591,0.3872,"G",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9sa","G7",16608.591,0.5099,"G",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9sa","G8",16608.591,0.4399,"G",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9sa","G9",16608.591,0.4559,"G",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9sa","G10",16608.591,0.4443,"G",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9sa","G11",16608.591,0.6316,"G",11
"","",NA,"","","","G12",16608.591,NA,"G",12
"","",NA,"","","","H1",16608.591,NA,"H",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9sa","H2",16608.591,0.4617,"H",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9sa","H3",16608.591,0.4493,"H",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9sa","H4",16608.591,0.2674,"H",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9sa","H5",16608.591,0.3824,"H",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9sa","H6",16608.591,0.317,"H",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9sa","H7",16608.591,0.3497,"H",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9sa","H8",16608.591,0.3158,"H",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9sa","H9",16608.591,0.3163,"H",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9sa","H10",16608.591,0.315,"H",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9sa","H11",16608.591,0.4145,"H",11
"","",NA,"","","","H12",16608.591,NA,"H",12
"","",NA,"","","","A1",17181.462,NA,"A",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9C","A2",17181.462,1.1149,"A",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9C","A3",17181.462,1.3099,"A",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9C","A4",17181.462,0.6409,"A",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9C","A5",17181.462,1.3598,"A",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9C","A6",17181.462,1.423,"A",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9C","A7",17181.462,1.5475,"A",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9C","A8",17181.462,1.5625,"A",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9C","A9",17181.462,1.314,"A",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9C","A10",17181.462,1.6259,"A",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9C","A11",17181.462,1.4287,"A",11
"","",NA,"","","","A12",17181.462,NA,"A",12
"","",NA,"","","","B1",17181.462,NA,"B",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9C","B2",17181.462,1.212,"B",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9C","B3",17181.462,1.2574,"B",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9C","B4",17181.462,0.5068,"B",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9C","B5",17181.462,1.5575,"B",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9C","B6",17181.462,1.1874,"B",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9C","B7",17181.462,1.1392,"B",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9C","B8",17181.462,1.4219,"B",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9C","B9",17181.462,1.4319,"B",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9C","B10",17181.462,1.5095,"B",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9C","B11",17181.462,1.4187,"B",11
"","",NA,"","","","B12",17181.462,NA,"B",12
"","",NA,"","","","C1",17181.462,NA,"C",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9C","C2",17181.462,0.8986,"C",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9C","C3",17181.462,1.1627,"C",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9C","C4",17181.462,0.5951,"C",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9C","C5",17181.462,1.0419,"C",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9C","C6",17181.462,0.9786,"C",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9C","C7",17181.462,1.0973,"C",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9C","C8",17181.462,1.0478,"C",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9C","C9",17181.462,0.8887,"C",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9C","C10",17181.462,1.2616,"C",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9C","C11",17181.462,0.8819,"C",11
"","",NA,"","","","C12",17181.462,NA,"C",12
"","",NA,"","","","D1",17181.462,NA,"D",1
"","",NA,"","","","D2",17181.462,NA,"D",2
"","",NA,"","","","D3",17181.462,NA,"D",3
"","",NA,"","","","D4",17181.462,NA,"D",4
"","",NA,"","","","D5",17181.462,NA,"D",5
"","",NA,"","","","D6",17181.462,NA,"D",6
"","",NA,"","","","D7",17181.462,NA,"D",7
"","",NA,"","","","D8",17181.462,NA,"D",8
"","",NA,"","","","D9",17181.462,NA,"D",9
"","",NA,"","","","D10",17181.462,NA,"D",10
"","",NA,"","","","D11",17181.462,NA,"D",11
"","",NA,"","","","D12",17181.462,NA,"D",12
"","",NA,"","","","E1",17181.462,NA,"E",1
"","",NA,"","","","E2",17181.462,NA,"E",2
"","",NA,"","","","E3",17181.462,NA,"E",3
"","",NA,"","","","E4",17181.462,NA,"E",4
"","",NA,"","","","E5",17181.462,NA,"E",5
"","",NA,"","","","E6",17181.462,NA,"E",6
"","",NA,"","","","E7",17181.462,NA,"E",7
"","",NA,"","","","E8",17181.462,NA,"E",8
"","",NA,"","","","E9",17181.462,NA,"E",9
"","",NA,"","","","E10",17181.462,NA,"E",10
"","",NA,"","","","E11",17181.462,NA,"E",11
"","",NA,"","","","E12",17181.462,NA,"E",12
"","",NA,"","","","F1",17181.462,NA,"F",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9sa","F2",17181.462,0.5012,"F",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9sa","F3",17181.462,0.4931,"F",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9sa","F4",17181.462,0.2251,"F",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9sa","F5",17181.462,0.5389,"F",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9sa","F6",17181.462,0.4586,"F",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9sa","F7",17181.462,0.4223,"F",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9sa","F8",17181.462,0.4698,"F",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9sa","F9",17181.462,0.571,"F",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9sa","F10",17181.462,0.6605,"F",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9sa","F11",17181.462,0.5098,"F",11
"","",NA,"","","","F12",17181.462,NA,"F",12
"","",NA,"","","","G1",17181.462,NA,"G",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9sa","G2",17181.462,0.4149,"G",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9sa","G3",17181.462,0.5212,"G",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9sa","G4",17181.462,0.4409,"G",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9sa","G5",17181.462,0.5072,"G",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9sa","G6",17181.462,0.4077,"G",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9sa","G7",17181.462,0.5315,"G",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9sa","G8",17181.462,0.4615,"G",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9sa","G9",17181.462,0.4738,"G",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9sa","G10",17181.462,0.466,"G",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9sa","G11",17181.462,0.6579,"G",11
"","",NA,"","","","G12",17181.462,NA,"G",12
"","",NA,"","","","H1",17181.462,NA,"H",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9sa","H2",17181.462,0.4905,"H",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9sa","H3",17181.462,0.477,"H",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9sa","H4",17181.462,0.2806,"H",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9sa","H5",17181.462,0.4138,"H",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9sa","H6",17181.462,0.3394,"H",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9sa","H7",17181.462,0.366,"H",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9sa","H8",17181.462,0.3279,"H",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9sa","H9",17181.462,0.3291,"H",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9sa","H10",17181.462,0.3309,"H",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9sa","H11",17181.462,0.4342,"H",11
"","",NA,"","","","H12",17181.462,NA,"H",12
"","",NA,"","","","A1",17754.264,NA,"A",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9C","A2",17754.264,1.1439,"A",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9C","A3",17754.264,1.3313,"A",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9C","A4",17754.264,0.6692,"A",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9C","A5",17754.264,1.3853,"A",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9C","A6",17754.264,1.4614,"A",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9C","A7",17754.264,1.5496,"A",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9C","A8",17754.264,1.5669,"A",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9C","A9",17754.264,1.3173,"A",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9C","A10",17754.264,1.6563,"A",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9C","A11",17754.264,1.4478,"A",11
"","",NA,"","","","A12",17754.264,NA,"A",12
"","",NA,"","","","B1",17754.264,NA,"B",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9C","B2",17754.264,1.2352,"B",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9C","B3",17754.264,1.2858,"B",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9C","B4",17754.264,0.5415,"B",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9C","B5",17754.264,1.5821,"B",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9C","B6",17754.264,1.2211,"B",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9C","B7",17754.264,1.1522,"B",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9C","B8",17754.264,1.4376,"B",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9C","B9",17754.264,1.4423,"B",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9C","B10",17754.264,1.5226,"B",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9C","B11",17754.264,1.4499,"B",11
"","",NA,"","","","B12",17754.264,NA,"B",12
"","",NA,"","","","C1",17754.264,NA,"C",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9C","C2",17754.264,0.9415,"C",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9C","C3",17754.264,1.1797,"C",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9C","C4",17754.264,0.6291,"C",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9C","C5",17754.264,1.0862,"C",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9C","C6",17754.264,1.0102,"C",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9C","C7",17754.264,1.1222,"C",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9C","C8",17754.264,1.0779,"C",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9C","C9",17754.264,0.9341,"C",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9C","C10",17754.264,1.2875,"C",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9C","C11",17754.264,0.9207,"C",11
"","",NA,"","","","C12",17754.264,NA,"C",12
"","",NA,"","","","D1",17754.264,NA,"D",1
"","",NA,"","","","D2",17754.264,NA,"D",2
"","",NA,"","","","D3",17754.264,NA,"D",3
"","",NA,"","","","D4",17754.264,NA,"D",4
"","",NA,"","","","D5",17754.264,NA,"D",5
"","",NA,"","","","D6",17754.264,NA,"D",6
"","",NA,"","","","D7",17754.264,NA,"D",7
"","",NA,"","","","D8",17754.264,NA,"D",8
"","",NA,"","","","D9",17754.264,NA,"D",9
"","",NA,"","","","D10",17754.264,NA,"D",10
"","",NA,"","","","D11",17754.264,NA,"D",11
"","",NA,"","","","D12",17754.264,NA,"D",12
"","",NA,"","","","E1",17754.264,NA,"E",1
"","",NA,"","","","E2",17754.264,NA,"E",2
"","",NA,"","","","E3",17754.264,NA,"E",3
"","",NA,"","","","E4",17754.264,NA,"E",4
"","",NA,"","","","E5",17754.264,NA,"E",5
"","",NA,"","","","E6",17754.264,NA,"E",6
"","",NA,"","","","E7",17754.264,NA,"E",7
"","",NA,"","","","E8",17754.264,NA,"E",8
"","",NA,"","","","E9",17754.264,NA,"E",9
"","",NA,"","","","E10",17754.264,NA,"E",10
"","",NA,"","","","E11",17754.264,NA,"E",11
"","",NA,"","","","E12",17754.264,NA,"E",12
"","",NA,"","","","F1",17754.264,NA,"F",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9sa","F2",17754.264,0.537,"F",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9sa","F3",17754.264,0.5233,"F",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9sa","F4",17754.264,0.2303,"F",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9sa","F5",17754.264,0.5735,"F",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9sa","F6",17754.264,0.4791,"F",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9sa","F7",17754.264,0.4441,"F",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9sa","F8",17754.264,0.4916,"F",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9sa","F9",17754.264,0.5929,"F",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9sa","F10",17754.264,0.686,"F",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9sa","F11",17754.264,0.5357,"F",11
"","",NA,"","","","F12",17754.264,NA,"F",12
"","",NA,"","","","G1",17754.264,NA,"G",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9sa","G2",17754.264,0.4407,"G",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9sa","G3",17754.264,0.5505,"G",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9sa","G4",17754.264,0.4528,"G",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9sa","G5",17754.264,0.5415,"G",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9sa","G6",17754.264,0.425,"G",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9sa","G7",17754.264,0.5463,"G",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9sa","G8",17754.264,0.4796,"G",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9sa","G9",17754.264,0.4887,"G",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9sa","G10",17754.264,0.4864,"G",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9sa","G11",17754.264,0.673,"G",11
"","",NA,"","","","G12",17754.264,NA,"G",12
"","",NA,"","","","H1",17754.264,NA,"H",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9sa","H2",17754.264,0.5182,"H",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9sa","H3",17754.264,0.5035,"H",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9sa","H4",17754.264,0.2975,"H",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9sa","H5",17754.264,0.4505,"H",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9sa","H6",17754.264,0.3599,"H",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9sa","H7",17754.264,0.3804,"H",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9sa","H8",17754.264,0.3372,"H",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9sa","H9",17754.264,0.3402,"H",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9sa","H10",17754.264,0.3461,"H",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9sa","H11",17754.264,0.4486,"H",11
"","",NA,"","","","H12",17754.264,NA,"H",12
"","",NA,"","","","A1",18327.075,NA,"A",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9C","A2",18327.075,1.1603,"A",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9C","A3",18327.075,1.3508,"A",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9C","A4",18327.075,0.7046,"A",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9C","A5",18327.075,1.413,"A",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9C","A6",18327.075,1.483,"A",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9C","A7",18327.075,1.5544,"A",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9C","A8",18327.075,1.5737,"A",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9C","A9",18327.075,1.321,"A",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9C","A10",18327.075,1.6755,"A",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9C","A11",18327.075,1.4602,"A",11
"","",NA,"","","","A12",18327.075,NA,"A",12
"","",NA,"","","","B1",18327.075,NA,"B",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9C","B2",18327.075,1.2373,"B",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9C","B3",18327.075,1.307,"B",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9C","B4",18327.075,0.5801,"B",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9C","B5",18327.075,1.599,"B",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9C","B6",18327.075,1.2393,"B",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9C","B7",18327.075,1.1626,"B",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9C","B8",18327.075,1.4524,"B",8
